,channel_title,Title,Description,Published_date,Views,Likes,Comments,Month
65,take U forward,L23. Merge two sorted Linked Lists,"Problem Link: https://bit.ly/3vjuaGQ

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2024-01-01,41550,1514,60,Jan
66,take U forward,L22. Rotate a LinkedList,"Problem Link: https://tinyurl.com/ye23ua58

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-30,47611,1593,112,Nov
67,take U forward,L21. Reverse Nodes in K Group Size of LinkedList,"Problem Link: https://tinyurl.com/4dbz8fnn

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-30,61768,1913,101,Nov
68,take U forward,L20. Remove duplicates from sorted DLL,"Problem Link: https://tinyurl.com/5n8ndcuu

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-30,26181,1115,43,Nov
69,take U forward,L19. Find all Pairs with given Sum in DLL,"Problem Link: https://tinyurl.com/y4xca7e5

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-30,26980,1268,51,Nov
70,take U forward,L18. Delete all occurrences of a Key in DLL,"Problem Link: https://tinyurl.com/yc7znssk

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-30,30369,1261,46,Nov
71,take U forward,L17. Find the starting point of the Loop/Cycle in LinkedList | Multiple Approaches,"Problem Link: https://tinyurl.com/4c5a64xv

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-29,43626,2223,150,Nov
72,take U forward,L16. Delete the middle node of the LinkedList,"Problem Link: https://tinyurl.com/y2r52yz8

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-29,29667,1267,57,Nov
73,take U forward,L15. Find the length of the Loop in LinkedList,"Problem Link: https://tinyurl.com/5n78kcda

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-29,36566,1434,52,Nov
74,take U forward,L14. Detect a loop or cycle in LinkedList | With proof and Intuition,"Problem Link: https://tinyurl.com/3rxwup5c

Entire LL Sheet: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/ 

Check our A2Z DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/ 

Please do give us a like, and subscribe to us if you are new to our channel. 

Do follow us on our socials: https://linktr.ee/takeuforward",2023-11-29,56039,2476,98,Nov
